"pid","job_len","arrival"
1,2,8
2,2,4
3,2,7
4,2,8
5,2,13
6,2,12
7,2,5
8,2,10
9,69,15
10,2,9
11,2,12
12,3,6
13,2,8
14,2,8
15,2,11
16,2,10
17,2,13
18,42,8
19,2,14
20,3,4
21,2,7
22,4,7
23,2,10
24,2,13
25,2,9
26,2,11
27,2,10
28,2,8
29,2,10
30,4,13
31,2,6
32,3,5
33,4,13
34,5,14
35,2,13
36,2,10
37,2,10
38,2,6
39,2,8
40,3,7
41,2,14
42,7,17
43,2,7
44,5,7
45,20,8
46,8,11
47,2,6
48,2,7
49,3,10
50,6,5
51,2,10
52,3,9
53,2,8
54,2,9
55,2,10
56,4,16
57,4,7
58,10,11
59,2,12
60,2,13
61,2,4
62,6,12
63,2,11
64,2,11
65,3,10
66,2,8
67,2,9
68,3,8
69,3,12
70,2,4
71,2,13
72,2,14
73,2,6
74,3,10
75,3,6
76,59,16
77,2,9
78,8,9
79,2,7
80,2,12
81,2,7
82,11,7
83,2,10
84,2,12
85,3,9
86,3,12
87,3,8
88,2,10
89,3,6
90,2,10
91,7,15
92,2,9
93,2,10
94,2,13
95,2,7
96,3,12
97,4,5
98,2,16
99,2,11
100,4,10
