,pid,burning_time,arrival,waiting_time,cpu_time,response_time
0,2,2,4,107,2,0
1,20,3,4,222,3,45
2,61,2,4,129,2,1
3,70,2,4,146,2,2
4,50,6,5,277,6,71
5,97,4,5,234,4,45
6,7,2,5,142,2,2
7,32,3,5,198,3,28
8,31,2,6,193,2,85
9,47,2,6,183,2,71
10,73,2,6,124,2,56
11,75,3,6,225,3,45
12,38,2,6,112,2,34
13,89,3,6,216,3,28
14,12,3,6,224,3,2
15,79,2,7,159,2,2
16,81,2,7,151,2,91
17,3,2,7,194,2,85
18,82,11,7,305,11,77
19,57,4,7,233,4,71
20,21,2,7,120,2,63
21,22,4,7,236,4,56
22,48,2,7,167,2,49
23,95,2,7,171,2,45
24,40,3,7,213,3,37
25,44,5,7,252,5,34
26,43,2,7,188,2,3
27,39,2,8,149,2,27
28,53,2,8,115,2,19
29,87,3,8,204,3,20
30,68,3,8,206,3,3
31,45,20,8,329,20,4
32,66,2,8,104,2,94
33,1,2,8,131,2,91
34,18,42,8,375,42,87
35,4,2,8,155,2,85
36,14,2,8,190,2,80
37,13,2,8,182,2,77
38,28,2,8,168,2,5
39,54,2,9,143,2,70
40,52,3,9,196,3,65
41,77,2,9,170,2,62
42,25,2,9,183,2,58
43,78,8,9,282,8,55
44,67,2,9,174,2,51
45,85,3,9,208,3,48
46,92,2,9,116,2,45
47,10,2,9,162,2,5
48,83,2,10,162,2,36
49,8,2,10,97,2,35
50,88,2,10,157,2,33
51,74,3,10,214,3,32
52,90,2,10,160,2,28
53,16,2,10,165,2,29
54,93,2,10,144,2,27
55,65,3,10,223,3,26
56,100,4,10,237,4,21
57,36,2,10,143,2,22
58,49,3,10,211,3,20
59,37,2,10,159,2,19
60,51,2,10,121,2,15
61,55,2,10,125,2,16
62,29,2,10,112,2,14
63,27,2,10,158,2,5
64,23,2,10,99,2,6
65,58,10,11,296,10,92
66,99,2,11,97,2,90
67,26,2,11,113,2,89
68,15,2,11,151,2,86
69,46,8,11,284,8,85
70,64,2,11,189,2,83
71,63,2,11,102,2,6
72,80,2,12,148,2,78
73,6,2,12,149,2,77
74,96,3,12,201,3,75
75,84,2,12,147,2,74
76,86,3,12,226,3,70
77,11,2,12,143,2,71
78,62,6,12,263,6,69
79,59,2,12,182,2,68
80,69,3,12,195,3,6
81,60,2,13,178,2,62
82,5,2,13,133,2,60
83,94,2,13,174,2,59
84,33,4,13,245,4,56
85,30,4,13,237,4,55
86,24,2,13,172,2,53
87,35,2,13,127,2,52
88,71,2,13,119,2,48
89,17,2,13,97,2,6
90,41,2,14,167,2,45
91,34,5,14,255,5,44
92,72,2,14,106,2,41
93,19,2,14,100,2,6
94,91,7,15,273,7,38
95,9,69,15,385,68,6
96,56,4,16,232,4,32
97,76,59,16,384,59,31
98,98,2,16,113,2,6
99,42,7,17,269,7,6
