,pid,burning_time,arrival,waiting_time,cpu_time,response_time
0,2,2,4,0,2,0
1,20,3,4,2,3,2
2,61,2,4,5,2,5
3,70,2,4,7,2,7
4,50,6,5,249,6,8
5,97,4,5,12,4,12
6,7,2,5,16,2,16
7,32,3,5,18,3,18
8,31,2,6,20,2,20
9,47,2,6,22,2,22
10,73,2,6,24,2,24
11,75,3,6,26,3,26
12,38,2,6,29,2,29
13,89,3,6,31,3,31
14,12,3,6,34,3,34
15,79,2,7,36,2,36
16,81,2,7,38,2,38
17,3,2,7,40,2,40
18,82,11,7,291,11,42
19,57,4,7,46,4,46
20,21,2,7,50,2,50
21,22,4,7,52,4,52
22,48,2,7,56,2,56
23,95,2,7,58,2,58
24,40,3,7,60,3,60
25,44,5,7,257,5,63
26,43,2,7,67,2,67
27,39,2,8,68,2,68
28,53,2,8,70,2,70
29,87,3,8,72,3,72
30,68,3,8,75,3,75
31,45,20,8,319,20,78
32,66,2,8,82,2,82
33,1,2,8,84,2,84
34,18,42,8,371,42,86
35,4,2,8,90,2,90
36,14,2,8,92,2,92
37,13,2,8,94,2,94
38,28,2,8,96,2,96
39,54,2,9,97,2,97
40,52,3,9,99,3,99
41,77,2,9,102,2,102
42,25,2,9,104,2,104
43,78,8,9,264,8,106
44,67,2,9,110,2,110
45,85,3,9,112,3,112
46,92,2,9,115,2,115
47,10,2,9,117,2,117
48,83,2,10,118,2,118
49,8,2,10,120,2,120
50,88,2,10,122,2,122
51,74,3,10,124,3,124
52,90,2,10,127,2,127
53,16,2,10,129,2,129
54,93,2,10,131,2,131
55,65,3,10,133,3,133
56,100,4,10,136,4,136
57,36,2,10,140,2,140
58,49,3,10,142,3,142
59,37,2,10,145,2,145
60,51,2,10,147,2,147
61,55,2,10,149,2,149
62,29,2,10,151,2,151
63,27,2,10,153,2,153
64,23,2,10,155,2,155
65,58,10,11,298,10,156
66,99,2,11,160,2,160
67,26,2,11,162,2,162
68,15,2,11,164,2,164
69,46,8,11,270,8,166
70,64,2,11,170,2,170
71,63,2,11,172,2,172
72,80,2,12,173,2,173
73,6,2,12,175,2,175
74,96,3,12,177,3,177
75,84,2,12,180,2,180
76,86,3,12,182,3,182
77,11,2,12,185,2,185
78,62,6,12,273,6,187
79,59,2,12,191,2,191
80,69,3,12,193,3,193
81,60,2,13,195,2,195
82,5,2,13,197,2,197
83,94,2,13,199,2,199
84,33,4,13,201,4,201
85,30,4,13,205,4,205
86,24,2,13,209,2,209
87,35,2,13,211,2,211
88,71,2,13,213,2,213
89,17,2,13,215,2,215
90,41,2,14,216,2,216
91,34,5,14,273,5,218
92,72,2,14,222,2,222
93,19,2,14,224,2,224
94,91,7,15,273,7,225
95,9,69,15,385,68,229
96,56,4,16,232,4,232
97,76,59,16,385,59,236
98,98,2,16,240,2,240
99,42,7,17,282,7,243
