,pid,burning_time,arrival,waiting_time,cpu_time,response_time
0,2,2,4,0,2,0
1,20,3,4,126,3,126
2,61,2,4,2,2,2
3,70,2,4,4,2,4
4,50,6,5,211,6,211
5,97,4,5,173,4,173
6,7,2,5,5,2,5
7,32,3,5,128,3,128
8,31,2,6,6,2,6
9,47,2,6,8,2,8
10,73,2,6,10,2,10
11,75,3,6,130,3,130
12,38,2,6,12,2,12
13,89,3,6,133,3,133
14,12,3,6,136,3,136
15,79,2,7,13,2,13
16,81,2,7,15,2,15
17,3,2,7,17,2,17
18,82,11,7,261,11,261
19,57,4,7,175,4,175
20,21,2,7,19,2,19
21,22,4,7,179,4,179
22,48,2,7,21,2,21
23,95,2,7,23,2,23
24,40,3,7,138,3,138
25,44,5,7,199,5,199
26,43,2,7,25,2,25
27,39,2,8,26,2,26
28,53,2,8,28,2,28
29,87,3,8,140,3,140
30,68,3,8,143,3,143
31,45,20,8,271,20,271
32,66,2,8,30,2,30
33,1,2,8,32,2,32
34,18,42,8,291,42,291
35,4,2,8,34,2,34
36,14,2,8,36,2,36
37,13,2,8,38,2,38
38,28,2,8,40,2,40
39,54,2,9,41,2,41
40,52,3,9,145,3,145
41,77,2,9,43,2,43
42,25,2,9,45,2,45
43,78,8,9,233,8,233
44,67,2,9,47,2,47
45,85,3,9,148,3,148
46,92,2,9,49,2,49
47,10,2,9,51,2,51
48,83,2,10,52,2,52
49,8,2,10,54,2,54
50,88,2,10,56,2,56
51,74,3,10,150,3,150
52,90,2,10,58,2,58
53,16,2,10,60,2,60
54,93,2,10,62,2,62
55,65,3,10,153,3,153
56,100,4,10,180,4,180
57,36,2,10,64,2,64
58,49,3,10,156,3,156
59,37,2,10,66,2,66
60,51,2,10,68,2,68
61,55,2,10,70,2,70
62,29,2,10,72,2,72
63,27,2,10,74,2,74
64,23,2,10,76,2,76
65,58,10,11,247,10,247
66,99,2,11,77,2,77
67,26,2,11,79,2,79
68,15,2,11,81,2,81
69,46,8,11,239,8,239
70,64,2,11,83,2,83
71,63,2,11,85,2,85
72,80,2,12,86,2,86
73,6,2,12,88,2,88
74,96,3,12,157,3,157
75,84,2,12,90,2,90
76,86,3,12,160,3,160
77,11,2,12,92,2,92
78,62,6,12,210,6,210
79,59,2,12,94,2,94
80,69,3,12,163,3,163
81,60,2,13,95,2,95
82,5,2,13,97,2,97
83,94,2,13,99,2,99
84,33,4,13,181,4,181
85,30,4,13,185,4,185
86,24,2,13,101,2,101
87,35,2,13,103,2,103
88,71,2,13,105,2,105
89,17,2,13,107,2,107
90,41,2,14,108,2,108
91,34,5,14,197,5,197
92,72,2,14,110,2,110
93,19,2,14,112,2,112
94,91,7,15,213,7,213
95,9,69,15,385,68,385
96,56,4,16,186,4,186
97,76,59,16,325,59,325
98,98,2,16,112,2,112
99,42,7,17,218,7,218
